CIC_OEM_VERS 	= 2.0
CREATION_DATE  	= 2023-06-06T17:32:35Z
ORIGINATOR     	= e.NOVA

META_START

OBJECT_NAME 	= ['THOR', 'AGENA', 'D', 'RB']
OBJECT_ID 	= ['THOR', 'AGENA', 'D', 'RB']

CENTER_NAME 	= EARTH
REF_FRAME   	= EME2000
TIME_SYSTEM 	= UTC

META_STOP

59945 37720.0	-3820.737149044265 6069.258000755495 235.1529407234957 0.849139334431638 0.8415366893164724 -7.348875844181542
59945 37730.0	-3812.0260985000205 6077.361047421286 161.43361327107687 0.8904324407052933 0.775822799605618 -7.3510213552938435
59945 37740.0	-3802.900909217267 6084.80498390703 87.69291775988222 0.9316281125268824 0.7100266014332917 -7.352369043071384
59945 37750.0	-3793.362540676178 6091.588949242125 13.93888944310811 0.9727218887542777 0.6441552200685603 -7.352918761548615
59945 37760.0	-3783.411997821321 6097.712154713377 -59.82043374381192 1.0137093192649982 0.578215788881022 -7.352670451179918
59945 37770.0	-3773.050330970934 6103.173883969888 -133.57701202394583 1.0545859654093792 0.5122154486143722 -7.351624138845678
59945 37780.0	-3762.278635707293 6107.9734931287585 -207.32280472349385 1.0953474005199062 0.4461613465670209 -7.3497799378491955
59945 37790.0	-3751.0980527751135 6112.110410864834 -281.0497711203384 1.1359892103655498 0.38006063585846883 -7.347138047904874
59945 37800.0	-3739.5097679648466 6115.584138497679 -354.74987136407844 1.1765069936441117 0.3139204746316073 -7.343698755116307
59945 37810.0	-3727.515011995279 6118.3942500678 -428.4150673642548 1.2168963624552989 0.24774802528329198 -7.339462431945337
59945 37820.0	-3715.1150603911155 6120.54039240501 -502.0373236788205 1.257152942772364 0.18155045369456113 -7.334429537172209
59945 37830.0	-3702.311233349905 6122.022285189291 -575.6086084351291 1.2972723749299027 0.11533492843142712 -7.328600615844039
59945 37840.0	-3689.104895615822 6122.839721001563 -649.1208941801387 1.3372503140713698 0.04910862000911864 -7.321976299219045
59945 37850.0	-3675.497456331676 6122.992565368289 -722.5661588271382 1.3770824306476774 -0.017121299930717537 -7.314557304694116
59945 37860.0	-3661.490368903922 6122.480756796153 -795.9363864994616 1.4167644108581074 -0.08334765935030353 -7.306344435731733
59945 37870.0	-3647.085130843743 6121.304306799121 -869.2235684768493 1.4562919571453776 -0.14956328663876084 -7.297338581767781
59945 37880.0	-3632.2832836223643 6119.463299917348 -942.4197040386784 1.495660788633292 -0.21576101134235381 -7.287540718120962
59945 37890.0	-3617.0864125013404 6116.957893726537 -1015.5168014094133 1.5348666416180232 -0.2819336649873172 -7.276951905880864
59945 37900.0	-3601.4961463781583 6113.788318841087 -1088.5068786009965 1.5739052700023357 -0.34807408180980515 -7.26557329179991
59945 37910.0	-3585.514157605746 6109.954878905769 -1161.3819643569477 1.6127724457828758 -0.414175099578169 -7.25340610816175
59945 37920.0	-3569.1421618285044 6105.457950582986 -1234.1340989934856 1.6514639594807727 -0.48022956032226594 -7.240451672655768
59945 37930.0	-3552.381917791112 6100.297983526768 -1306.7553353417766 1.689975620624707 -0.5462303111547975 -7.226711388225871
59945 37940.0	-3535.2352271649615 6094.475500354138 -1379.2377395874341 1.7283032581777402 -0.6121702049997442 -7.212186742927599
59945 37950.0	-3517.7039343463575 6087.991096601389 -1451.5733922104787 1.7664427210159597 -0.6780421014124123 -7.196879309757372
59945 37960.0	-3499.7899262718765 6080.845440678906 -1523.7543888289924 1.8043898783545917 -0.7438388673123111 -7.180790746490846
59945 37970.0	-3481.4951322139464 6073.039273812943 -1595.772841104901 1.8421406202055297 -0.809553377772906 -7.163922795499879
59945 37980.0	-3462.821523570875 6064.57340997792 -1667.6208776480298 1.8796908578322704 -0.875178516810315 -7.146277283559099
59945 37990.0	-3443.7711136681355 6055.448735827547 -1739.2906448558824 1.9170365241697467 -0.9407071781137364 -7.12785612165856
59945 38000.0	-3424.3459575303887 6045.66621060669 -1810.774307845963 1.9541735742910726 -1.0061322658608414 -7.108661304784439
59945 38010.0	-3404.54815167499 6035.226866067136 -1882.064051285991 1.9910979858195261 -1.0714466954403101 -7.0886949117158675
59945 38020.0	-3384.3798338737 6024.131806361722 -1953.152080322408 2.0278057593902066 -1.1366433942647718 -7.067959104786373
59945 38030.0	-3363.843182936947 6012.382207944227 -2024.030621407017 2.0642929190573778 -1.201715302490968 -7.046456129663669
59945 38040.0	-3342.9404184653104 5999.979319445791 -2094.6919232211667 2.100555512750804 -1.2666553738298503 -7.024188315091935
59945 38050.0	-3321.673800624686 5986.924461558921 -2165.1282574983816 2.136589612678274 -1.3314565762640345 -7.001158072654679
59945 38060.0	-3300.045629887608 5973.219026896272 -2235.331919943793 2.172391315776424 -1.3961118928547362 -6.97736789649796
59945 38070.0	-3278.05824679747 5958.8644798574915 -2305.2952310584938 2.207956744111396 -1.4606143224618644 -6.952820363074226
59945 38080.0	-3255.7140317075628 5943.86235647546 -2375.0105370292385 2.243282045311498 -1.5249568805248392 -6.927518130855275
